#options: 640x360 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=48 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1658 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:117 out:119 type:b dur:2 cpbdur:2 q:16.84 aq:12.62 tex:18635 mv:5177 misc:900 imb:5 pmb:606 smb:309 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:16.88 aq:12.84 tex:17354 mv:5643 misc:851 imb:4 pmb:657 smb:259 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:16.98 aq:9.31 tex:134189 mv:7699 misc:256 imb:173 pmb:724 smb:23 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:16.94 aq:11.23 tex:43980 mv:8766 misc:558 imb:17 pmb:818 smb:85 d:t ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:16.92 aq:12.79 tex:18535 mv:5656 misc:857 imb:6 pmb:638 smb:276 d:t ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:16.96 aq:12.66 tex:18534 mv:5558 misc:868 imb:7 pmb:636 smb:277 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:17.04 aq:9.29 tex:135450 mv:7487 misc:255 imb:199 pmb:701 smb:20 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:17.01 aq:11.33 tex:43874 mv:8760 misc:582 imb:16 pmb:800 smb:104 d:t ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:16.99 aq:12.95 tex:18826 mv:5339 misc:859 imb:12 pmb:630 smb:278 d:t ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:17.03 aq:12.80 tex:17479 mv:5409 misc:896 imb:8 pmb:639 smb:273 d:- ref:0 ;
